Strand Name1, Strand Name2, Start Time(YYYY:MM : DD),Stop Time(YYYY:MM : DD),Duration(sec)
YH1->FX0506->XG9, XG9->FX1305->YH8,2017:02:07:17:00:26, 2017:02:07:17:01:47,81
YH1->FX0605->XG9, XG9->FX1305->YH8,2017:02:07:17:01:47, 2017:02:07:17:04:14,147
YH1->FX1304->XG9, XG9->FX0604->YH8,2017:02:07:17:09:30, 2017:02:07:17:13:04,214
YH1->FX0604->XG9, XG9->FX0604->YH8,2017:02:07:17:13:04, 2017:02:07:17:13:57,53
YH1->FX1303->XG9, XG9->FX0603->YH8,2017:02:07:17:18:20, 2017:02:07:17:21:52,212
YH1->FX0603->XG9, XG9->FX0603->YH8,2017:02:07:17:21:52, 2017:02:07:17:22:34,42
YH1->FX1302->XG9, XG9->FX0108->YH8,2017:02:07:17:24:32, 2017:02:07:17:24:47,15
YH1->FX0602->XG9, XG9->FX0602->YH8,2017:02:07:17:30:38, 2017:02:07:17:31:05,27
YH1->FX1301->XG9, XG9->FX0107->YH8,2017:02:07:17:33:25, 2017:02:07:17:33:56,31
YH1->FX0601->XG9, XG9->FX0601->YH8,2017:02:07:17:39:22, 2017:02:07:17:39:24,2
YH1->FX1312->XG9, XG9->FX0106->YH8,2017:02:07:17:42:20, 2017:02:07:17:43:04,44
YH1->FX0612->XG9, XG9->FX0105->YH8,2017:02:07:17:48:32, 2017:02:07:17:50:46,134
YH1->FX1311->XG9, XG9->FX0105->YH8,2017:02:07:17:51:17, 2017:02:07:17:52:09,52
YH1->FX0611->XG9, XG9->FX0104->YH8,2017:02:07:17:57:19, 2017:02:07:17:59:43,144
YH1->FX1310->XG9, XG9->FX0104->YH8,2017:02:07:18:00:17, 2017:02:07:18:01:13,56
YH1->FX0610->XG9, XG9->FX0103->YH8,2017:02:07:18:06:09, 2017:02:07:18:08:37,148
YH1->FX1309->XG9, XG9->FX0103->YH8,2017:02:07:18:09:19, 2017:02:07:18:10:15,56
YH1->FX0609->XG9, XG9->FX0102->YH8,2017:02:07:18:15:03, 2017:02:07:18:17:29,146
YH1->FX0102->XG9, XG9->FX0102->YH8,2017:02:07:18:17:29, 2017:02:07:18:18:42,73
YH1->FX1308->XG9, XG9->FX0102->YH8,2017:02:07:18:18:42, 2017:02:07:18:19:14,32
YH1->FX0608->XG9, XG9->FX0101->YH8,2017:02:07:18:23:59, 2017:02:07:18:26:18,139
YH1->FX0101->XG9, XG9->FX0101->YH8,2017:02:07:18:26:18, 2017:02:07:18:28:12,114
YH1->FX1307->XG9, XG9->FX0707->YH8,2017:02:07:18:28:12, 2017:02:07:18:29:28,76
YH1->FX0607->XG9, XG9->FX0112->YH8,2017:02:07:18:32:59, 2017:02:07:18:35:05,126
YH1->FX0112->XG9, XG9->FX0112->YH8,2017:02:07:18:35:05, 2017:02:07:18:37:08,123
YH1->FX1306->XG9, XG9->FX0706->YH8,2017:02:07:18:37:08, 2017:02:07:18:38:20,72
YH1->FX0606->XG9, XG9->FX0111->YH8,2017:02:07:18:42:01, 2017:02:07:18:43:48,107
YH1->FX0705->XG9, XG9->FX0111->YH8,2017:02:07:18:43:48, 2017:02:07:18:46:02,134
YH1->FX1305->XG9, XG9->FX0705->YH8,2017:02:07:18:46:35, 2017:02:07:18:47:09,34
YH1->FX0605->XG9, XG9->FX0110->YH8,2017:02:07:18:51:08, 2017:02:07:18:52:27,79
YH1->FX0704->XG9, XG9->FX0110->YH8,2017:02:07:18:52:27, 2017:02:07:18:54:55,148
YH1->FX0109->XG9, XG9->FX0703->YH8,2017:02:07:19:00:11, 2017:02:07:19:03:45,214
YH1->FX0703->XG9, XG9->FX0703->YH8,2017:02:07:19:03:45, 2017:02:07:19:04:37,52
YH1->FX0108->XG9, XG9->FX0702->YH8,2017:02:07:19:09:01, 2017:02:07:19:12:33,212
YH1->FX0702->XG9, XG9->FX0702->YH8,2017:02:07:19:12:33, 2017:02:07:19:13:14,41
YH1->FX0107->XG9, XG9->FX0207->YH8,2017:02:07:19:15:13, 2017:02:07:19:15:29,16
YH1->FX0701->XG9, XG9->FX0701->YH8,2017:02:07:19:21:18, 2017:02:07:19:21:44,26
YH1->FX0106->XG9, XG9->FX0206->YH8,2017:02:07:19:24:05, 2017:02:07:19:24:38,33
YH1->FX0712->XG9, XG9->FX0205->YH8,2017:02:07:19:30:28, 2017:02:07:19:32:28,120
YH1->FX0105->XG9, XG9->FX0205->YH8,2017:02:07:19:33:00, 2017:02:07:19:33:46,46
YH1->FX0711->XG9, XG9->FX0204->YH8,2017:02:07:19:39:12, 2017:02:07:19:41:27,135
YH1->FX0104->XG9, XG9->FX0204->YH8,2017:02:07:19:41:58, 2017:02:07:19:42:51,53
YH1->FX0710->XG9, XG9->FX0203->YH8,2017:02:07:19:48:00, 2017:02:07:19:50:24,144
YH1->FX0103->XG9, XG9->FX0203->YH8,2017:02:07:19:50:58, 2017:02:07:19:51:55,57
YH1->FX0709->XG9, XG9->FX0202->YH8,2017:02:07:19:56:50, 2017:02:07:19:59:18,148
YH1->FX0102->XG9, XG9->FX0202->YH8,2017:02:07:20:00:01, 2017:02:07:20:00:56,55
YH1->FX0708->XG9, XG9->FX0201->YH8,2017:02:07:20:05:44, 2017:02:07:20:08:10,146
YH1->FX0201->XG9, XG9->FX0201->YH8,2017:02:07:20:08:10, 2017:02:07:20:09:28,78
YH1->FX0101->XG9, XG9->FX0201->YH8,2017:02:07:20:09:28, 2017:02:07:20:09:56,28
YH1->FX0707->XG9, XG9->FX0212->YH8,2017:02:07:20:14:40, 2017:02:07:20:16:59,139
YH1->FX0212->XG9, XG9->FX0212->YH8,2017:02:07:20:16:59, 2017:02:07:20:18:54,115
YH1->FX0112->XG9, XG9->FX0806->YH8,2017:02:07:20:18:54, 2017:02:07:20:20:09,75
YH1->FX0706->XG9, XG9->FX0211->YH8,2017:02:07:20:23:40, 2017:02:07:20:25:45,125
YH1->FX0211->XG9, XG9->FX0211->YH8,2017:02:07:20:25:45, 2017:02:07:20:27:49,124
YH1->FX0111->XG9, XG9->FX0805->YH8,2017:02:07:20:27:49, 2017:02:07:20:29:01,72
YH1->FX0705->XG9, XG9->FX0210->YH8,2017:02:07:20:32:43, 2017:02:07:20:34:28,105
YH1->FX0804->XG9, XG9->FX0210->YH8,2017:02:07:20:34:28, 2017:02:07:20:36:43,135
YH1->FX0110->XG9, XG9->FX0804->YH8,2017:02:07:20:37:19, 2017:02:07:20:37:50,31
YH1->FX0704->XG9, XG9->FX0209->YH8,2017:02:07:20:41:50, 2017:02:07:20:43:07,77
YH1->FX0803->XG9, XG9->FX0209->YH8,2017:02:07:20:43:07, 2017:02:07:20:45:35,148
YH1->FX0208->XG9, XG9->FX0802->YH8,2017:02:07:20:50:51, 2017:02:07:20:54:25,214
YH1->FX0802->XG9, XG9->FX0802->YH8,2017:02:07:20:54:25, 2017:02:07:20:55:16,51
YH1->FX0207->XG9, XG9->FX0801->YH8,2017:02:07:20:59:42, 2017:02:07:21:03:13,211
YH1->FX0801->XG9, XG9->FX0801->YH8,2017:02:07:21:03:13, 2017:02:07:21:03:53,40
YH1->FX0206->XG9, XG9->FX0306->YH8,2017:02:07:21:05:53, 2017:02:07:21:06:11,18
YH1->FX0812->XG9, XG9->FX0812->YH8,2017:02:07:21:11:59, 2017:02:07:21:12:22,23
YH1->FX0205->XG9, XG9->FX0305->YH8,2017:02:07:21:14:46, 2017:02:07:21:15:21,35
YH1->FX0811->XG9, XG9->FX0304->YH8,2017:02:07:21:21:09, 2017:02:07:21:23:09,120
YH1->FX0204->XG9, XG9->FX0304->YH8,2017:02:07:21:23:41, 2017:02:07:21:24:28,47
YH1->FX0810->XG9, XG9->FX0303->YH8,2017:02:07:21:29:53, 2017:02:07:21:32:08,135
YH1->FX0203->XG9, XG9->FX0303->YH8,2017:02:07:21:32:39, 2017:02:07:21:33:33,54
YH1->FX0809->XG9, XG9->FX0302->YH8,2017:02:07:21:38:41, 2017:02:07:21:41:05,144
YH1->FX0202->XG9, XG9->FX0302->YH8,2017:02:07:21:41:40, 2017:02:07:21:42:36,56
YH1->FX0808->XG9, XG9->FX0301->YH8,2017:02:07:21:47:31, 2017:02:07:21:49:59,148
YH1->FX0201->XG9, XG9->FX0301->YH8,2017:02:07:21:50:43, 2017:02:07:21:51:38,55
YH1->FX0807->XG9, XG9->FX0312->YH8,2017:02:07:21:56:25, 2017:02:07:21:58:50,145
YH1->FX0312->XG9, XG9->FX0312->YH8,2017:02:07:21:58:50, 2017:02:07:22:00:14,84
YH1->FX0212->XG9, XG9->FX0312->YH8,2017:02:07:22:00:14, 2017:02:07:22:00:37,23
YH1->FX0806->XG9, XG9->FX0311->YH8,2017:02:07:22:05:22, 2017:02:07:22:07:39,137
YH1->FX0311->XG9, XG9->FX0311->YH8,2017:02:07:22:07:39, 2017:02:07:22:09:35,116
YH1->FX0211->XG9, XG9->FX0905->YH8,2017:02:07:22:09:35, 2017:02:07:22:10:49,74
YH1->FX0805->XG9, XG9->FX0310->YH8,2017:02:07:22:14:22, 2017:02:07:22:16:25,123
YH1->FX0310->XG9, XG9->FX0310->YH8,2017:02:07:22:16:25, 2017:02:07:22:18:31,126
YH1->FX0210->XG9, XG9->FX0904->YH8,2017:02:07:22:18:31, 2017:02:07:22:19:41,70
YH1->FX0804->XG9, XG9->FX0309->YH8,2017:02:07:22:23:25, 2017:02:07:22:25:08,103
YH1->FX0903->XG9, XG9->FX0309->YH8,2017:02:07:22:25:08, 2017:02:07:22:27:25,137
YH1->FX0209->XG9, XG9->FX0903->YH8,2017:02:07:22:28:02, 2017:02:07:22:28:29,27
YH1->FX0803->XG9, XG9->FX0308->YH8,2017:02:07:22:32:33, 2017:02:07:22:33:46,73
YH1->FX0902->XG9, XG9->FX0308->YH8,2017:02:07:22:33:46, 2017:02:07:22:36:16,150
YH1->FX0307->XG9, XG9->FX0901->YH8,2017:02:07:22:41:31, 2017:02:07:22:45:06,215
YH1->FX0901->XG9, XG9->FX0901->YH8,2017:02:07:22:45:06, 2017:02:07:22:45:56,50
YH1->FX0306->XG9, XG9->FX0912->YH8,2017:02:07:22:50:22, 2017:02:07:22:53:54,212
YH1->FX0912->XG9, XG9->FX0912->YH8,2017:02:07:22:53:54, 2017:02:07:22:54:32,38
YH1->FX0305->XG9, XG9->FX0405->YH8,2017:02:07:22:56:34, 2017:02:07:22:56:54,20
YH1->FX0911->XG9, XG9->FX0911->YH8,2017:02:07:23:02:39, 2017:02:07:23:03:00,21
YH1->FX0304->XG9, XG9->FX0404->YH8,2017:02:07:23:05:27, 2017:02:07:23:06:03,36
YH1->FX0910->XG9, XG9->FX0403->YH8,2017:02:07:23:11:50, 2017:02:07:23:13:50,120
YH1->FX0303->XG9, XG9->FX0403->YH8,2017:02:07:23:14:23, 2017:02:07:23:15:10,47
YH1->FX0909->XG9, XG9->FX0402->YH8,2017:02:07:23:20:34, 2017:02:07:23:22:49,135
YH1->FX0302->XG9, XG9->FX0402->YH8,2017:02:07:23:23:21, 2017:02:07:23:24:15,54
YH1->FX0908->XG9, XG9->FX0401->YH8,2017:02:07:23:29:22, 2017:02:07:23:31:45,143
YH1->FX0301->XG9, XG9->FX0401->YH8,2017:02:07:23:32:21, 2017:02:07:23:33:19,58
YH1->FX0907->XG9, XG9->FX0412->YH8,2017:02:07:23:38:13, 2017:02:07:23:40:39,146
YH1->FX0312->XG9, XG9->FX0412->YH8,2017:02:07:23:41:25, 2017:02:07:23:42:20,55
YH1->FX0906->XG9, XG9->FX0411->YH8,2017:02:07:23:47:07, 2017:02:07:23:49:30,143
YH1->FX0411->XG9, XG9->FX0411->YH8,2017:02:07:23:49:30, 2017:02:07:23:51:00,90
YH1->FX0311->XG9, XG9->FX0411->YH8,2017:02:07:23:51:00, 2017:02:07:23:51:19,19
YH1->FX0905->XG9, XG9->FX0410->YH8,2017:02:07:23:56:04, 2017:02:07:23:58:19,135
YH1->FX0410->XG9, XG9->FX0410->YH8,2017:02:07:23:58:19, 2017:02:08:00:00:17,118
YH1->FX0310->XG9, XG9->FX1004->YH8,2017:02:08:00:00:17, 2017:02:08:00:01:29,72
YH1->FX0904->XG9, XG9->FX0409->YH8,2017:02:08:00:05:04, 2017:02:08:00:07:05,121
YH1->FX0409->XG9, XG9->FX0409->YH8,2017:02:08:00:07:05, 2017:02:08:00:09:12,127
YH1->FX0309->XG9, XG9->FX1003->YH8,2017:02:08:00:09:12, 2017:02:08:00:10:21,69
YH1->FX0903->XG9, XG9->FX0408->YH8,2017:02:08:00:14:08, 2017:02:08:00:15:47,99
YH1->FX1002->XG9, XG9->FX0408->YH8,2017:02:08:00:15:47, 2017:02:08:00:18:06,139
YH1->FX0308->XG9, XG9->FX1002->YH8,2017:02:08:00:18:44, 2017:02:08:00:19:09,25
YH1->FX0902->XG9, XG9->FX0407->YH8,2017:02:08:00:23:15, 2017:02:08:00:24:25,70
YH1->FX1001->XG9, XG9->FX0407->YH8,2017:02:08:00:24:25, 2017:02:08:00:26:58,153
YH1->FX0406->XG9, XG9->FX1012->YH8,2017:02:08:00:32:11, 2017:02:08:00:35:47,216
YH1->FX1012->XG9, XG9->FX1012->YH8,2017:02:08:00:35:47, 2017:02:08:00:36:35,48
YH1->FX0405->XG9, XG9->FX1011->YH8,2017:02:08:00:41:02, 2017:02:08:00:44:35,213
YH1->FX1011->XG9, XG9->FX1011->YH8,2017:02:08:00:44:35, 2017:02:08:00:45:10,35
YH1->FX0404->XG9, XG9->FX0504->YH8,2017:02:08:00:47:16, 2017:02:08:00:47:36,20
YH1->FX1010->XG9, XG9->FX1010->YH8,2017:02:08:00:53:20, 2017:02:08:00:53:38,18
YH1->FX0403->XG9, XG9->FX0503->YH8,2017:02:08:00:56:09, 2017:02:08:00:56:45,36
YH1->FX1009->XG9, XG9->FX0502->YH8,2017:02:08:01:02:31, 2017:02:08:01:04:31,120
YH1->FX0402->XG9, XG9->FX0502->YH8,2017:02:08:01:05:05, 2017:02:08:01:05:52,47
YH1->FX1008->XG9, XG9->FX0501->YH8,2017:02:08:01:11:15, 2017:02:08:01:13:29,134
YH1->FX0401->XG9, XG9->FX0501->YH8,2017:02:08:01:14:03, 2017:02:08:01:14:57,54
YH1->FX1007->XG9, XG9->FX0512->YH8,2017:02:08:01:20:03, 2017:02:08:01:22:25,142
YH1->FX0412->XG9, XG9->FX0512->YH8,2017:02:08:01:23:04, 2017:02:08:01:24:01,57
YH1->FX1006->XG9, XG9->FX0511->YH8,2017:02:08:01:28:54, 2017:02:08:01:31:19,145
YH1->FX0411->XG9, XG9->FX0511->YH8,2017:02:08:01:32:07, 2017:02:08:01:33:02,55
YH1->FX1005->XG9, XG9->FX0510->YH8,2017:02:08:01:37:49, 2017:02:08:01:40:10,141
YH1->FX0510->XG9, XG9->FX0510->YH8,2017:02:08:01:40:10, 2017:02:08:01:41:45,95
YH1->FX0410->XG9, XG9->FX0510->YH8,2017:02:08:01:41:45, 2017:02:08:01:42:01,16
YH1->FX1004->XG9, XG9->FX0509->YH8,2017:02:08:01:46:46, 2017:02:08:01:48:59,133
YH1->FX0509->XG9, XG9->FX0509->YH8,2017:02:08:01:48:59, 2017:02:08:01:50:59,120
YH1->FX0409->XG9, XG9->FX1103->YH8,2017:02:08:01:50:59, 2017:02:08:01:52:09,70
YH1->FX1003->XG9, XG9->FX0508->YH8,2017:02:08:01:55:46, 2017:02:08:01:57:44,118
YH1->FX1102->XG9, XG9->FX0508->YH8,2017:02:08:01:57:44, 2017:02:08:01:59:54,130
YH1->FX0408->XG9, XG9->FX1102->YH8,2017:02:08:01:59:55, 2017:02:08:02:01:00,65
YH1->FX1002->XG9, XG9->FX0507->YH8,2017:02:08:02:04:50, 2017:02:08:02:06:26,96
YH1->FX1101->XG9, XG9->FX0507->YH8,2017:02:08:02:06:26, 2017:02:08:02:08:48,142
YH1->FX0407->XG9, XG9->FX1101->YH8,2017:02:08:02:09:26, 2017:02:08:02:09:48,22
YH1->FX1001->XG9, XG9->FX0506->YH8,2017:02:08:02:13:58, 2017:02:08:02:15:03,65
YH1->FX1112->XG9, XG9->FX0506->YH8,2017:02:08:02:15:03, 2017:02:08:02:17:39,156
YH1->FX0505->XG9, XG9->FX1111->YH8,2017:02:08:02:22:51, 2017:02:08:02:26:29,218
YH1->FX1111->XG9, XG9->FX1111->YH8,2017:02:08:02:26:29, 2017:02:08:02:27:14,45
YH1->FX0504->XG9, XG9->FX0604->YH8,2017:02:08:02:29:07, 2017:02:08:02:29:08,1
YH1->FX1110->XG9, XG9->FX1110->YH8,2017:02:08:02:35:16, 2017:02:08:02:35:49,33
YH1->FX0503->XG9, XG9->FX0603->YH8,2017:02:08:02:37:57, 2017:02:08:02:38:19,22
YH1->FX1109->XG9, XG9->FX1109->YH8,2017:02:08:02:44:01, 2017:02:08:02:44:16,15
YH1->FX0502->XG9, XG9->FX0602->YH8,2017:02:08:02:46:51, 2017:02:08:02:47:27,36
YH1->FX1108->XG9, XG9->FX0601->YH8,2017:02:08:02:53:12, 2017:02:08:02:55:11,119
YH1->FX0501->XG9, XG9->FX0601->YH8,2017:02:08:02:55:46, 2017:02:08:02:56:34,48
YH1->FX1107->XG9, XG9->FX0612->YH8,2017:02:08:03:01:56, 2017:02:08:03:04:10,134
YH1->FX0512->XG9, XG9->FX0612->YH8,2017:02:08:03:04:45, 2017:02:08:03:05:39,54
YH1->FX1106->XG9, XG9->FX0611->YH8,2017:02:08:03:10:45, 2017:02:08:03:13:05,140
YH1->FX0511->XG9, XG9->FX0611->YH8,2017:02:08:03:13:46, 2017:02:08:03:14:42,56
YH1->FX1105->XG9, XG9->FX0610->YH8,2017:02:08:03:19:36, 2017:02:08:03:21:59,143
YH1->FX0610->XG9, XG9->FX0610->YH8,2017:02:08:03:21:59, 2017:02:08:03:22:04,5
YH1->FX0510->XG9, XG9->FX0610->YH8,2017:02:08:03:22:50, 2017:02:08:03:23:44,54
YH1->FX1104->XG9, XG9->FX0609->YH8,2017:02:08:03:28:30, 2017:02:08:03:30:50,140
YH1->FX0609->XG9, XG9->FX0609->YH8,2017:02:08:03:30:50, 2017:02:08:03:32:30,100
YH1->FX0509->XG9, XG9->FX0609->YH8,2017:02:08:03:32:30, 2017:02:08:03:32:43,13
YH1->FX1103->XG9, XG9->FX0608->YH8,2017:02:08:03:37:28, 2017:02:08:03:39:38,130
YH1->FX0608->XG9, XG9->FX0608->YH8,2017:02:08:03:39:38, 2017:02:08:03:41:40,122
YH1->FX0508->XG9, XG9->FX1202->YH8,2017:02:08:03:41:40, 2017:02:08:03:42:49,69
YH1->FX1102->XG9, XG9->FX0607->YH8,2017:02:08:03:46:28, 2017:02:08:03:48:23,115
YH1->FX1201->XG9, XG9->FX0607->YH8,2017:02:08:03:48:23, 2017:02:08:03:50:36,133
YH1->FX0507->XG9, XG9->FX1201->YH8,2017:02:08:03:50:38, 2017:02:08:03:51:40,62
YH1->FX1101->XG9, XG9->FX0606->YH8,2017:02:08:03:55:32, 2017:02:08:03:57:05,93
YH1->FX1212->XG9, XG9->FX0606->YH8,2017:02:08:03:57:05, 2017:02:08:03:59:29,144
YH1->FX0506->XG9, XG9->FX1212->YH8,2017:02:08:04:00:08, 2017:02:08:04:00:28,20
YH1->FX1112->XG9, XG9->FX0605->YH8,2017:02:08:04:04:40, 2017:02:08:04:05:42,62
YH1->FX1211->XG9, XG9->FX0605->YH8,2017:02:08:04:05:42, 2017:02:08:04:08:21,159
YH1->FX0604->XG9, XG9->FX1210->YH8,2017:02:08:04:13:31, 2017:02:08:04:17:10,219
YH1->FX0604->XG1, XG1->FX0604->YH8,2017:02:08:04:15:38, 2017:02:08:04:19:34,236
YH1->FX1210->XG9, XG9->FX1210->YH8,2017:02:08:04:17:10, 2017:02:08:04:17:53,43
YH1->FX1209->XG1, XG1->FX0604->YH8,2017:02:08:04:19:34, 2017:02:08:04:20:58,84
YH1->FX0603->XG9, XG9->FX0703->YH8,2017:02:08:04:19:48, 2017:02:08:04:19:50,2
YH1->FX0603->XG1, XG1->FX1308->YH8,2017:02:08:04:24:54, 2017:02:08:04:28:40,226
YH1->FX1209->XG9, XG9->FX1209->YH8,2017:02:08:04:25:57, 2017:02:08:04:26:28,31
YH1->FX0602->XG9, XG9->FX0702->YH8,2017:02:08:04:28:39, 2017:02:08:04:29:00,21
YH1->FX1208->XG1, XG1->FX1308->YH8,2017:02:08:04:28:40, 2017:02:08:04:28:50,10
YH1->FX0602->XG1, XG1->FX1307->YH8,2017:02:08:04:34:18, 2017:02:08:04:37:41,203
YH1->FX1208->XG9, XG9->FX1208->YH8,2017:02:08:04:34:42, 2017:02:08:04:34:54,12
YH1->FX0601->XG9, XG9->FX0701->YH8,2017:02:08:04:37:32, 2017:02:08:04:38:09,37
YH1->FX1207->XG1, XG1->FX1307->YH8,2017:02:08:04:37:41, 2017:02:08:04:37:58,17
YH1->FX0601->XG1, XG1->FX1306->YH8,2017:02:08:04:43:52, 2017:02:08:04:46:39,167
YH1->FX1207->XG9, XG9->FX0712->YH8,2017:02:08:04:43:52, 2017:02:08:04:45:52,120
YH1->FX0612->XG9, XG9->FX0712->YH8,2017:02:08:04:46:28, 2017:02:08:04:47:16,48
YH1->FX1206->XG9, XG9->FX0711->YH8,2017:02:08:04:52:37, 2017:02:08:04:54:50,133
YH1->FX0612->XG1, XG1->FX1305->YH8,2017:02:08:04:53:49, 2017:02:08:04:55:33,104
YH1->FX0611->XG9, XG9->FX0711->YH8,2017:02:08:04:55:26, 2017:02:08:04:56:21,55
YH1->FX1205->XG9, XG9->FX0710->YH8,2017:02:08:05:01:26, 2017:02:08:05:03:46,140
YH1->FX0610->XG9, XG9->FX0710->YH8,2017:02:08:05:04:27, 2017:02:08:05:05:24,57
YH1->FX1204->XG9, XG9->FX0709->YH8,2017:02:08:05:10:17, 2017:02:08:05:12:39,142
YH1->FX0709->XG1, XG1->FX1303->YH8,2017:02:08:05:12:09, 2017:02:08:05:12:52,43
YH1->FX0709->XG9, XG9->FX0709->YH8,2017:02:08:05:12:39, 2017:02:08:05:12:52,13
YH1->FX0609->XG9, XG9->FX0709->YH8,2017:02:08:05:13:32, 2017:02:08:05:14:25,53
YH1->FX1203->XG9, XG9->FX0708->YH8,2017:02:08:05:19:11, 2017:02:08:05:21:30,139
YH1->FX0708->XG1, XG1->FX1302->YH8,2017:02:08:05:21:03, 2017:02:08:05:22:48,105
YH1->FX0708->XG9, XG9->FX0708->YH8,2017:02:08:05:21:30, 2017:02:08:05:23:14,104
YH1->FX0608->XG9, XG9->FX0708->YH8,2017:02:08:05:23:14, 2017:02:08:05:23:24,10
YH1->FX1202->XG9, XG9->FX0707->YH8,2017:02:08:05:28:09, 2017:02:08:05:30:18,129
YH1->FX1301->XG1, XG1->FX1301->YH8,2017:02:08:05:28:52, 2017:02:08:05:31:23,151
YH1->FX0707->XG9, XG9->FX0707->YH8,2017:02:08:05:30:18, 2017:02:08:05:32:22,124
YH1->FX0707->XG1, XG1->FX1301->YH8,2017:02:08:05:31:23, 2017:02:08:05:31:38,15
YH1->FX0607->XG9, XG9->FX1301->YH8,2017:02:08:05:32:22, 2017:02:08:05:33:29,67
YH1->FX1312->XG1, XG1->FX0707->YH8,2017:02:08:05:36:33, 2017:02:08:05:37:07,34
YH1->FX1201->XG9, XG9->FX0706->YH8,2017:02:08:05:37:10, 2017:02:08:05:39:03,113
YH1->FX1312->XG9, XG9->FX0706->YH8,2017:02:08:05:39:03, 2017:02:08:05:41:17,134
YH1->FX0706->XG1, XG1->FX0706->YH8,2017:02:08:05:40:24, 2017:02:08:05:42:28,124
YH1->FX0606->XG9, XG9->FX1312->YH8,2017:02:08:05:41:20, 2017:02:08:05:42:20,60
YH1->FX1311->XG1, XG1->FX0706->YH8,2017:02:08:05:44:42, 2017:02:08:05:45:53,71
YH1->FX1212->XG9, XG9->FX0705->YH8,2017:02:08:05:46:14, 2017:02:08:05:47:45,91
YH1->FX1311->XG9, XG9->FX0705->YH8,2017:02:08:05:47:45, 2017:02:08:05:50:10,145
YH1->FX0705->XG1, XG1->FX0705->YH8,2017:02:08:05:49:06, 2017:02:08:05:51:50,164
YH1->FX0605->XG9, XG9->FX1311->YH8,2017:02:08:05:50:49, 2017:02:08:05:51:08,19
YH1->FX1211->XG9, XG9->FX1310->YH8,2017:02:08:05:52:37, 2017:02:08:05:56:21,224
YH1->FX1310->XG1, XG1->FX0705->YH8,2017:02:08:05:53:04, 2017:02:08:05:54:34,90
YH1->FX1310->XG9, XG9->FX1310->YH8,2017:02:08:05:56:21, 2017:02:08:05:59:53,212
YH1->FX0704->XG1, XG1->FX0704->YH8,2017:02:08:05:57:44, 2017:02:08:06:01:05,201
YH1->FX1309->XG1, XG1->FX0704->YH8,2017:02:08:06:01:33, 2017:02:08:06:03:09,96
YH1->FX0703->XG9, XG9->FX1309->YH8,2017:02:08:06:04:11, 2017:02:08:06:07:51,220
YH1->FX0703->XG1, XG1->FX0102->YH8,2017:02:08:06:06:20, 2017:02:08:06:10:16,236
YH1->FX1309->XG9, XG9->FX1309->YH8,2017:02:08:06:07:51, 2017:02:08:06:08:33,42
YH1->FX1308->XG1, XG1->FX0102->YH8,2017:02:08:06:10:16, 2017:02:08:06:10:19,3
YH1->FX0702->XG9, XG9->FX0802->YH8,2017:02:08:06:10:29, 2017:02:08:06:10:31,2
YH1->FX0702->XG1, XG1->FX0101->YH8,2017:02:08:06:15:37, 2017:02:08:06:19:21,224
YH1->FX1308->XG9, XG9->FX1308->YH8,2017:02:08:06:16:38, 2017:02:08:06:17:07,29
YH1->FX0701->XG9, XG9->FX0801->YH8,2017:02:08:06:19:20, 2017:02:08:06:19:42,22
