Strand Name1, Strand Name2, Start Time(YYYY:MM : DD),Stop Time(YYYY:MM : DD),Duration(sec)
YH1->FX0501->XG9, XG9->FX1312->YH8,2017:02:07:16:00:00, 2017:02:07:16:00:04,4
YH1->FX1212->XG9, XG9->FX1312->YH8,2017:02:07:16:00:36, 2017:02:07:16:01:28,52
YH1->FX0512->XG9, XG9->FX1311->YH8,2017:02:07:16:06:39, 2017:02:07:16:09:01,142
YH1->FX1211->XG9, XG9->FX1311->YH8,2017:02:07:16:09:36, 2017:02:07:16:10:32,56
YH1->FX0511->XG9, XG9->FX1310->YH8,2017:02:07:16:15:29, 2017:02:07:16:17:56,147
YH1->FX1210->XG9, XG9->FX1310->YH8,2017:02:07:16:18:38, 2017:02:07:16:19:34,56
YH1->FX0510->XG9, XG9->FX1309->YH8,2017:02:07:16:24:22, 2017:02:07:16:26:48,146
YH1->FX1309->XG9, XG9->FX1309->YH8,2017:02:07:16:26:48, 2017:02:07:16:27:56,68
YH1->FX1209->XG9, XG9->FX1309->YH8,2017:02:07:16:27:56, 2017:02:07:16:28:34,38
YH1->FX0509->XG9, XG9->FX1308->YH8,2017:02:07:16:33:18, 2017:02:07:16:35:37,139
YH1->FX1308->XG9, XG9->FX1308->YH8,2017:02:07:16:35:37, 2017:02:07:16:37:32,115
YH1->FX1208->XG9, XG9->FX0608->YH8,2017:02:07:16:37:32, 2017:02:07:16:38:47,75
YH1->FX0508->XG9, XG9->FX1307->YH8,2017:02:07:16:42:17, 2017:02:07:16:44:24,127
YH1->FX1307->XG9, XG9->FX1307->YH8,2017:02:07:16:44:24, 2017:02:07:16:46:28,124
YH1->FX1207->XG9, XG9->FX0607->YH8,2017:02:07:16:46:28, 2017:02:07:16:47:39,71
YH1->FX0507->XG9, XG9->FX1306->YH8,2017:02:07:16:51:20, 2017:02:07:16:53:08,108
YH1->FX0606->XG9, XG9->FX1306->YH8,2017:02:07:16:53:08, 2017:02:07:16:55:22,134
YH1->FX1206->XG9, XG9->FX0606->YH8,2017:02:07:16:55:52, 2017:02:07:16:56:29,37
