Strand Name1, Strand Name2, Start Time(YYYY:MM : DD),Stop Time(YYYY:MM : DD),Duration(sec)
YH1->FX1010->XG9, XG9->FX1110->YH2,2017:05:07:19:35:00, 2017:05:07:19:38:13,193
YH1->FX0403->XG9, XG9->FX0602->YH2,2017:05:07:19:38:56, 2017:05:07:19:39:55,59
YH1->FX1009->XG9, XG9->FX1109->YH2,2017:05:07:19:43:34, 2017:05:07:19:47:05,211
YH1->FX0502->XG9, XG9->FX1109->YH2,2017:05:07:19:47:05, 2017:05:07:19:47:43,38
YH1->FX0402->XG9, XG9->FX0601->YH2,2017:05:07:19:48:05, 2017:05:07:19:49:21,76
YH1->FX1008->XG9, XG9->FX1108->YH2,2017:05:07:19:52:04, 2017:05:07:19:55:55,231
YH1->FX0501->XG9, XG9->FX1108->YH2,2017:05:07:19:55:55, 2017:05:07:19:56:47,52
YH1->FX0401->XG9, XG9->FX0612->YH2,2017:05:07:19:57:51, 2017:05:07:19:58:44,53
YH1->FX1007->XG9, XG9->FX1107->YH2,2017:05:07:20:00:30, 2017:05:07:20:04:42,252
YH1->FX0512->XG9, XG9->FX1107->YH2,2017:05:07:20:04:42, 2017:05:07:20:05:49,67
YH1->FX0412->XG9, XG9->FX0611->YH2,2017:05:07:20:06:47, 2017:05:07:20:08:04,77
YH1->FX1006->XG9, XG9->FX1106->YH2,2017:05:07:20:09:17, 2017:05:07:20:13:25,248
YH1->FX1105->XG9, XG9->FX1106->YH2,2017:05:07:20:13:25, 2017:05:07:20:14:49,84
YH1->FX0411->XG9, XG9->FX0610->YH2,2017:05:07:20:16:04, 2017:05:07:20:17:04,60
YH1->FX1005->XG9, XG9->FX1105->YH2,2017:05:07:20:18:35, 2017:05:07:20:22:05,210
YH1->FX1104->XG9, XG9->FX1105->YH2,2017:05:07:20:22:05, 2017:05:07:20:23:49,104
YH1->FX1004->XG9, XG9->FX0608->YH2,2017:05:07:20:27:52, 2017:05:07:20:30:40,168
YH1->FX1103->XG9, XG9->FX0608->YH2,2017:05:07:20:30:40, 2017:05:07:20:34:09,209
YH1->FX0508->XG9, XG9->FX0607->YH2,2017:05:07:20:37:04, 2017:05:07:20:42:13,309
YH1->FX1102->XG9, XG9->FX0607->YH2,2017:05:07:20:42:13, 2017:05:07:20:42:34,21
YH1->FX0507->XG9, XG9->FX0606->YH2,2017:05:07:20:46:23, 2017:05:07:20:50:52,269
YH1->FX1101->XG9, XG9->FX1201->YH2,2017:05:07:20:50:59, 2017:05:07:20:52:32,93
YH1->FX0506->XG9, XG9->FX1212->YH2,2017:05:07:20:55:50, 2017:05:07:20:59:43,233
YH1->FX1112->XG9, XG9->FX1212->YH2,2017:05:07:20:59:43, 2017:05:07:21:01:50,127
YH1->FX0505->XG9, XG9->FX1211->YH2,2017:05:07:21:04:54, 2017:05:07:21:08:25,211
YH1->FX1111->XG9, XG9->FX1211->YH2,2017:05:07:21:08:25, 2017:05:07:21:11:01,156
YH1->FX0504->XG9, XG9->FX1210->YH2,2017:05:07:21:14:00, 2017:05:07:21:17:04,184
YH1->FX1110->XG9, XG9->FX1210->YH2,2017:05:07:21:17:04, 2017:05:07:21:19:58,174
YH1->FX0503->XG9, XG9->FX0702->YH2,2017:05:07:21:20:35, 2017:05:07:21:21:09,34
YH1->FX1109->XG9, XG9->FX1209->YH2,2017:05:07:21:25:40, 2017:05:07:21:28:53,193
YH1->FX0502->XG9, XG9->FX0701->YH2,2017:05:07:21:29:38, 2017:05:07:21:30:37,59
YH1->FX1108->XG9, XG9->FX1208->YH2,2017:05:07:21:34:14, 2017:05:07:21:37:45,211
YH1->FX0601->XG9, XG9->FX1208->YH2,2017:05:07:21:37:45, 2017:05:07:21:38:24,39
YH1->FX0501->XG9, XG9->FX0712->YH2,2017:05:07:21:38:50, 2017:05:07:21:40:03,73
YH1->FX1107->XG9, XG9->FX1207->YH2,2017:05:07:21:42:44, 2017:05:07:21:46:34,230
YH1->FX0612->XG9, XG9->FX1207->YH2,2017:05:07:21:46:34, 2017:05:07:21:47:27,53
